Years_Elapsed,Initial_Value,Value_At_2_Percent,Value_At_3_Percent,Value_At_5_Percent,Value_At_7_Percent
0,100.00,100.00,100.00,100.00,100.00
5,100.00,90.57,86.26,78.35,71.30
10,100.00,82.03,74.41,61.39,50.83
15,100.00,74.30,64.19,48.10,36.24
20,100.00,67.30,55.37,37.69,25.84
25,100.00,60.95,47.76,29.53,18.42
30,100.00,55.21,41.20,23.14,13.14
35,100.00,50.00,35.63,18.13,9.37
